
> hvac-app@0.1.0 dev:raw:no-turbo
> next dev --port 3000

▲ Next.js 16.2.3 (Turbopack)
- Local:         http://localhost:3000
- Network:       http://192.168.1.7:3000
- Environments: .env.local, .env
✓ Ready in 367ms

 GET /auth/login 200 in 778ms (next.js: 554ms, application-code: 223ms)
 POST /api/auth/register 200 in 4.1s (next.js: 471ms, application-code: 3.6s)
 POST /api/auth/login 400 in 31ms (next.js: 25ms, application-code: 6ms)
 POST /api/auth/register 400 in 6ms (next.js: 1929µs, application-code: 4ms)
 GET /api/auth/profile 401 in 35ms (next.js: 32ms, application-code: 4ms)
 GET /api/auth/profile 401 in 296ms (next.js: 1888µs, application-code: 294ms)
 POST /api/auth/login 200 in 587ms (next.js: 1838µs, application-code: 585ms)
 GET /api/auth/profile 200 in 294ms (next.js: 1858µs, application-code: 292ms)
 POST /api/auth/login 401 in 312ms (next.js: 1890µs, application-code: 310ms)
 POST /api/auth/register 200 in 655ms (next.js: 2ms, application-code: 653ms)
 GET /api/settings 401 in 206ms (next.js: 202ms, application-code: 4ms)
 POST /api/auth/register 200 in 642ms (next.js: 1749µs, application-code: 641ms)
 POST /api/auth/login 200 in 551ms (next.js: 1573µs, application-code: 549ms)
 GET /api/equipment 200 in 399ms (next.js: 105ms, application-code: 294ms)
 PUT /api/settings 403 in 276ms (next.js: 1701µs, application-code: 274ms)
 PUT /api/materials/rbac-smoke-test-id 403 in 1409ms (next.js: 1113ms, application-code: 296ms)
 PUT /api/suppliers/rbac-smoke-test-id 403 in 1384ms (next.js: 1093ms, application-code: 292ms)
 POST /api/materials 403 in 310ms (next.js: 24ms, application-code: 287ms)
 POST /api/auth/login 200 in 589ms (next.js: 1574µs, application-code: 587ms)
 PUT /api/materials/rbac-smoke-test-id 404 in 1380ms (next.js: 7ms, application-code: 1372ms)
 PUT /api/suppliers/rbac-smoke-test-id 404 in 313ms (next.js: 7ms, application-code: 306ms)
 PUT /api/settings 200 in 442ms (next.js: 1450µs, application-code: 441ms)
 POST /api/auth/register 200 in 573ms (next.js: 1558µs, application-code: 571ms)
 POST /api/auth/login 200 in 610ms (next.js: 1677µs, application-code: 608ms)
 POST /api/projects 201 in 314ms (next.js: 32ms, application-code: 282ms)
 POST /api/projects/e80bc280-ee17-4b40-80ec-3c4b175b3d17/rooms 201 in 1406ms (next.js: 988ms, application-code: 418ms)
 POST /api/projects/e80bc280-ee17-4b40-80ec-3c4b175b3d17/equipment 201 in 1295ms (next.js: 990ms, application-code: 305ms)
 POST /api/projects/e80bc280-ee17-4b40-80ec-3c4b175b3d17/boq 201 in 1394ms (next.js: 1007ms, application-code: 387ms)
 GET /api/projects/e80bc280-ee17-4b40-80ec-3c4b175b3d17 200 in 1319ms (next.js: 986ms, application-code: 332ms)
 PUT /api/projects/e80bc280-ee17-4b40-80ec-3c4b175b3d17 200 in 347ms (next.js: 7ms, application-code: 340ms)
 PUT /api/projects/e80bc280-ee17-4b40-80ec-3c4b175b3d17/rooms/197dca0c-5c7c-4bd3-b449-e3f1a3f13cab 200 in 1413ms (next.js: 1073ms, application-code: 340ms)
 PUT /api/projects/e80bc280-ee17-4b40-80ec-3c4b175b3d17/equipment/e835173d-9e8b-4aad-9f8c-62cd7dc82b1b 200 in 1384ms (next.js: 1074ms, application-code: 310ms)
 POST /api/projects/e80bc280-ee17-4b40-80ec-3c4b175b3d17/boq 201 in 423ms (next.js: 6ms, application-code: 416ms)
 GET /api/projects/e80bc280-ee17-4b40-80ec-3c4b175b3d17 200 in 339ms (next.js: 7ms, application-code: 332ms)
 PUT /api/projects/e80bc280-ee17-4b40-80ec-3c4b175b3d17/boq/c39f8e8e-cd34-4e27-95c7-f5a14a446324 200 in 1422ms (next.js: 1095ms, application-code: 327ms)
 PUT /api/projects/e80bc280-ee17-4b40-80ec-3c4b175b3d17/boq/c39f8e8e-cd34-4e27-95c7-f5a14a446324 200 in 350ms (next.js: 7ms, application-code: 343ms)
 PUT /api/projects/e80bc280-ee17-4b40-80ec-3c4b175b3d17/rooms/197dca0c-5c7c-4bd3-b449-e3f1a3f13cab 200 in 352ms (next.js: 7ms, application-code: 345ms)
 PUT /api/projects/e80bc280-ee17-4b40-80ec-3c4b175b3d17/equipment/e835173d-9e8b-4aad-9f8c-62cd7dc82b1b 200 in 358ms (next.js: 10ms, application-code: 348ms)
 GET /api/projects/e80bc280-ee17-4b40-80ec-3c4b175b3d17/boq 200 in 334ms (next.js: 10ms, application-code: 323ms)
 DELETE /api/projects/e80bc280-ee17-4b40-80ec-3c4b175b3d17?permanent=true 403 in 312ms (next.js: 7ms, application-code: 304ms)
 POST /api/auth/register 200 in 586ms (next.js: 1776µs, application-code: 585ms)
 POST /api/auth/login 200 in 557ms (next.js: 2ms, application-code: 554ms)
 POST /api/projects 201 in 285ms (next.js: 1587µs, application-code: 284ms)
 POST /api/projects/cb08af37-38d5-4284-9101-8c2fe81a9fa2/floors 201 in 1301ms (next.js: 980ms, application-code: 321ms)
 POST /api/projects/cb08af37-38d5-4284-9101-8c2fe81a9fa2/floors 201 in 305ms (next.js: 8ms, application-code: 297ms)
 POST /api/projects/cb08af37-38d5-4284-9101-8c2fe81a9fa2/rooms 201 in 349ms (next.js: 8ms, application-code: 341ms)
 POST /api/projects/cb08af37-38d5-4284-9101-8c2fe81a9fa2/rooms 201 in 352ms (next.js: 1573µs, application-code: 351ms)
 POST /api/projects/cb08af37-38d5-4284-9101-8c2fe81a9fa2/rooms 201 in 351ms (next.js: 1917µs, application-code: 349ms)
 PUT /api/projects/cb08af37-38d5-4284-9101-8c2fe81a9fa2/simulation-layout 200 in 1317ms (next.js: 980ms, application-code: 337ms)
 POST /api/projects/cb08af37-38d5-4284-9101-8c2fe81a9fa2/simulations 201 in 1738ms (next.js: 982ms, application-code: 756ms)
 POST /api/projects/cb08af37-38d5-4284-9101-8c2fe81a9fa2/simulations/bd19053e-eb22-462f-849d-bbc8b2fa4dde/run 201 in 1672ms (next.js: 1061ms, application-code: 610ms)
 GET /api/projects/cb08af37-38d5-4284-9101-8c2fe81a9fa2/simulations/bd19053e-eb22-462f-849d-bbc8b2fa4dde/runs?limit=5 200 in 1389ms (next.js: 1014ms, application-code: 375ms)
 PUT /api/projects/cb08af37-38d5-4284-9101-8c2fe81a9fa2/simulation-layout 200 in 276ms (next.js: 7ms, application-code: 269ms)
 PUT /api/projects/cb08af37-38d5-4284-9101-8c2fe81a9fa2/simulations/bd19053e-eb22-462f-849d-bbc8b2fa4dde 200 in 1674ms (next.js: 1013ms, application-code: 660ms)
 PUT /api/projects/cb08af37-38d5-4284-9101-8c2fe81a9fa2/simulation-layout 200 in 325ms (next.js: 7ms, application-code: 318ms)
 PUT /api/projects/cb08af37-38d5-4284-9101-8c2fe81a9fa2/simulations/bd19053e-eb22-462f-849d-bbc8b2fa4dde 200 in 594ms (next.js: 7ms, application-code: 587ms)
 GET /api/projects/cb08af37-38d5-4284-9101-8c2fe81a9fa2/simulations/bd19053e-eb22-462f-849d-bbc8b2fa4dde/export 200 in 1330ms (next.js: 991ms, application-code: 339ms)
 GET /api/projects/cb08af37-38d5-4284-9101-8c2fe81a9fa2/simulations/bd19053e-eb22-462f-849d-bbc8b2fa4dde/run 200 in 364ms (next.js: 7ms, application-code: 357ms)
 DELETE /api/projects/cb08af37-38d5-4284-9101-8c2fe81a9fa2 200 in 286ms (next.js: 6ms, application-code: 280ms)
 POST /api/auth/login 200 in 549ms (next.js: 1612µs, application-code: 547ms)
 GET /api/settings 200 in 317ms (next.js: 1706µs, application-code: 315ms)
 PUT /api/settings 400 in 264ms (next.js: 1555µs, application-code: 263ms)
 PUT /api/settings 200 in 339ms (next.js: 1616µs, application-code: 338ms)
 POST /api/materials 400 in 277ms (next.js: 1702µs, application-code: 275ms)
 POST /api/suppliers 201 in 311ms (next.js: 23ms, application-code: 288ms)
 POST /api/materials 201 in 285ms (next.js: 1779µs, application-code: 283ms)
 PUT /api/suppliers/2ad01cd2-8b42-4375-830f-6abaa759348e 400 in 273ms (next.js: 7ms, application-code: 266ms)
 PUT /api/suppliers/2ad01cd2-8b42-4375-830f-6abaa759348e 200 in 298ms (next.js: 1576µs, application-code: 296ms)
 PUT /api/materials/9bcb6f48-fc33-42af-a4b4-be77d5064a72 400 in 270ms (next.js: 7ms, application-code: 263ms)
 PUT /api/materials/9bcb6f48-fc33-42af-a4b4-be77d5064a72 200 in 340ms (next.js: 1563µs, application-code: 339ms)
 DELETE /api/materials/9bcb6f48-fc33-42af-a4b4-be77d5064a72 200 in 293ms (next.js: 1581µs, application-code: 292ms)
 DELETE /api/suppliers/2ad01cd2-8b42-4375-830f-6abaa759348e 200 in 327ms (next.js: 7ms, application-code: 320ms)
 POST /api/auth/login 200 in 552ms (next.js: 1670µs, application-code: 551ms)
 PUT /api/settings 200 in 310ms (next.js: 1606µs, application-code: 309ms)
